,ClocsCNN_0,ClocsCNN_1,ClocsCNN_2,val_auroc,test_auroc,test_tpr
249,0.02,0.48,0.5,0.9516853094100952,0.9543898105621338,0.8505772210461996
250,0.02,0.49,0.49,0.9516826272010803,0.9543985724449158,0.85065756973969
251,0.02,0.5,0.48,0.9516779184341431,0.9544051885604858,0.8504637409161339
252,0.02,0.51,0.47,0.951671838760376,0.9544097781181335,0.8503759635505701
253,0.02,0.52,0.46,0.9516643285751343,0.9544121623039246,0.8501816773236148
254,0.02,0.53,0.45,0.9516558647155762,0.9544124007225037,0.8503982716103268
255,0.02,0.54,0.44,0.9516464471817017,0.9544104337692261,0.8505073871200054
256,0.02,0.55,0.43,0.9516369104385376,0.9544059634208679,0.8503745779567966
257,0.02,0.56,0.42,0.9516265392303467,0.9543997049331665,0.8503971804552298
258,0.02,0.57,0.41,0.9516172409057617,0.9543907642364502,0.8502689697313577
259,0.02,0.58,0.4,0.9516065120697021,0.9543799161911011,0.8499519891757414
260,0.02,0.59,0.39,0.951594352722168,0.9543666839599609,0.849566083989845
261,0.02,0.6,0.38,0.9515810012817383,0.9543516635894775,0.8495689937367699
262,0.02,0.61,0.37,0.9515687227249146,0.9543333649635315,0.8492460118281212
263,0.02,0.62,0.36,0.9515560865402222,0.9543125033378601,0.8487618117539227
264,0.02,0.63,0.35,0.9515432119369507,0.9542897939682007,0.8485869541496628
265,0.02,0.64,0.34,0.9515292048454285,0.9542648792266846,0.8481103012315504
266,0.02,0.65,0.33,0.9515161514282227,0.954237699508667,0.8472679035169488
267,0.02,0.66,0.32,0.9515021443367004,0.9542078971862793,0.8467436294728264
268,0.02,0.67,0.31,0.9514856338500977,0.9541755318641663,0.8463117139136823
269,0.02,0.68,0.3,0.9514673948287964,0.954140841960907,0.8457747746764726
270,0.02,0.69,0.29,0.9514486193656921,0.9541033506393433,0.8455530580227785
271,0.02,0.7,0.28,0.9514268040657043,0.9540632963180542,0.845061432031949
272,0.02,0.71,0.27,0.9514048099517822,0.9540210962295532,0.84424003472298
273,0.02,0.72,0.26,0.9513816237449646,0.9539765119552612,0.8436499449746073
274,0.02,0.73,0.25,0.9513575434684753,0.9539295434951782,0.8429559986747425
275,0.02,0.74,0.24,0.9513310194015503,0.9538800716400146,0.8423695524081793
276,0.02,0.75,0.23,0.9513028860092163,0.9538277387619019,0.8414442528861051
277,0.02,0.76,0.22,0.9512713551521301,0.953772783279419,0.8406107782621761
278,0.02,0.77,0.21,0.9512401819229126,0.953715443611145,0.8396095535305103
279,0.02,0.78,0.2,0.9512056112289429,0.953654944896698,0.8385941557733017
280,0.02,0.79,0.19,0.9511714577674866,0.9535917043685913,0.8373247227207029
281,0.02,0.8,0.18,0.951136589050293,0.9535267353057861,0.8357604259869497
